Time,Error_Total,X_Desired,Y_Desired,X_Actual,Y_Actual
0.0,0.6103277807866851,0.0,0.0,0.0,0.0
0.049757613,0.5940609741138629,0.5,0.5,0.15,0.0
0.09971119,0.5788755210024559,0.5,0.5,0.16723095558841655,0.007889032791878026
0.14981569,0.5556225566769903,0.5,0.5,0.18269493434157547,0.015836428339174157
0.19976657,0.5398219728190207,0.5,0.5,0.205175641228733,0.029048810423642123
0.24962387,0.5157058083638697,0.5,0.5,0.21964160395341034,0.038689982653310334
0.299890445,0.4993717989932171,0.5,0.5,0.24048612617130483,0.05434875735542223
0.34970072,0.48284981443228603,0.5,0.5,0.2537726018992512,0.06555292375911032
0.399744997,0.45774931634511373,0.5,0.5,0.2665406309267502,0.07734095740276282
0.449732115,0.4408290567561901,0.5,0.5,0.28466702358445184,0.09606170535285963
0.499788783,0.41521589705252465,0.5,0.5,0.2960341967654968,0.10919543453094589
0.550006564,0.39801568555882455,0.5,0.5,0.3119570550687709,0.12980533225514512
0.599654784,0.3720866337210893,0.5,0.5,0.32179288460553274,0.14410856996319207
0.649747158,0.3547534545137398,0.5,0.5,0.33533594220825025,0.16633218455258927
0.699672356,0.3287594884994857,0.5,0.5,0.3435367047354891,0.18161461917292349
0.749974964,0.31148381397925456,0.5,0.5,0.35456656258201125,0.2051578107542419
0.799745875,0.28574917494087526,0.5,0.5,0.3610533364838552,0.22122412036046937
0.849722024,0.26918918688140786,0.5,0.5,0.36943338017570426,0.24582496431189638
0.899866678,0.24457218159142716,0.5,0.5,0.37594065390428755,0.261102329479382
0.949712786,0.22843756552891648,0.5,0.5,0.3855885842403009,0.28383899530153156
0.999889954,0.21231134860761147,0.5,0.5,0.39310158951306484,0.29811772940610975
1.049926689,0.18817716798156328,0.5,0.5,0.4004646448727289,0.3124664781238545
1.099805727,0.17230869060551704,0.5,0.5,0.41158526500141307,0.3338871432287942
1.14977849,0.14885481649055973,0.5,0.5,0.41930867257028404,0.34775285048376714
1.199731261,0.1361762154326953,0.5,0.5,0.43076834923930574,0.36822468013551446
1.249780235,0.11763782286588483,0.5,0.5,0.43694861531180507,0.3793000226243886
1.299915154,0.1075500562879089,0.5,0.5,0.4460286778329653,0.39547366957475527
1.349662089,0.09258596150184206,0.5,0.5,0.4509687521997646,0.40427669381658254
1.399781103,0.08459692572054038,0.5,0.5,0.4583224440571114,0.4173250848331371
1.449621734,0.07253234207387324,0.5,0.5,0.46224251685737233,0.42429655022325063
1.499829156,0.06615596766756197,0.5,0.5,0.4681843202535744,0.43481792294660865
1.550086433,0.059697419766755334,0.5,0.5,0.4713174469792158,0.44038520980292384
1.599744224,0.050525402279975117,0.5,0.5,0.4745057012092379,0.44602016435764613
1.649770504,0.04564306016700806,0.5,0.5,0.47902605265356146,0.4540336013128923
1.699708377,0.03865249709335423,0.5,0.5,0.4814307899329887,0.45830499575613015
