Time,Error
0.050194243,2.7244265451650556
0.100305229,2.710559575705605
0.150314339,2.6943148947628393
0.200232874,2.6778219031660258
0.250180426,2.65268257029298
0.300264183,2.635701564720028
0.350160601,2.609977478200073
0.400250191,2.592707317644394
0.450295737,2.5753793725541776
0.50021508,2.549353171342501
0.550234616,2.532029440740829
0.600186421,2.5061706265198924
0.650216437,2.4890651115254636
0.70024481,2.472102566271244
0.750240653,2.4470079379841287
0.800238341,2.4305641701638967
0.850193749,2.4064350123756992
0.900220883,2.390416315317595
0.95015694,2.3664062083942037
1.000193746,2.3504058884190253
1.050247465,2.334405532291477
1.100199456,2.3104054598154824
1.150249514,2.2944055237743513
1.200158425,2.2704056213590493
1.250240253,2.2544056875562033
1.300221427,2.238405754688757
1.350315157,2.21440585718583
1.400286253,2.198405926746564
1.450194648,2.174406032986001
1.500763525,2.1584061051106693
1.550242684,2.1424061783012016
1.600229351,2.118406290138333
1.650767,2.1024063661003893
1.700169844,2.0784064822142954
1.750231815,2.0624065611100666
1.800174563,2.0384066817535023
1.85023918,2.022406763758086
1.900275288,2.0064068470583605
1.950230896,1.9824069745068336
2.00024773,1.9664070611852695
2.05019683,1.9424071938567733
2.100214012,1.926407284125093
2.150293562,1.9104073758926434
2.200271633,1.8864075164384733
2.250179944,1.8704076121231252
2.30035165,1.8544077094457485
2.350593522,1.8304078585948373
2.400289027,1.814407960202783
2.450266441,1.7984080636051014
2.500227214,1.7744082221792088
2.550234848,1.7584083302827123
2.600200291,1.7344084961512747
2.650219459,1.7184086092865163
2.700234845,1.702408724533996
2.750232289,1.6784089014978074
2.800242832,1.6624090222939698
2.850189242,1.6384092078839239
2.900209818,1.6224093346421713
2.950162782,1.59840952950905
3.000270527,1.582409662684881
3.050251802,1.566409798565752
3.100282117,1.5424100076431537
3.15023819,1.5264101506606969
3.200189237,1.5024103708680554
3.250236809,1.4864105216029988
3.300199012,1.4624107538584785
3.350200397,1.4464109129563125
3.40028213,1.4304110755962773
3.450200958,1.4064113264621774
3.500255917,1.390411498495496
3.550230178,1.3744116745164432
3.600257772,1.3504119463347226
3.650236159,1.3344121329559941
3.700184613,1.3104124213978008
3.750251327,1.2944126196110377
3.80023235,1.278412822766651
3.850199,1.254413137180718
3.900277019,1.2384133535356892
3.950237099,1.222413575534353
4.000284186,1.1984139196087469
4.050238388,1.182414156725657
4.100257006,1.1584145246429245
4.150237781,1.1424147784824155
4.200194702,1.1184151728184915
4.250248767,1.1024154452202009
4.300198221,1.0784158689359162
4.350231212,1.062416162019555
4.40422998,1.046416464042482
4.450237561,1.0224169347560723
4.500230004,1.0064172610070587
4.550341934,0.9824177702622179
4.600280138,0.9664181237860148
4.650239817,0.9504184891869669
4.700250343,0.9264190609041897
4.750239752,0.9104194587612444
4.800242572,0.8944198708251643
4.85020996,0.8704205172726721
4.900244647,0.8544209683775311
4.950173476,0.8304216775727851
5.000232544,0.8144221735531005
5.050329602,0.7984226893810044
5.100226213,0.774423503028033
5.150236836,0.7584240740270914
5.200172514,0.7344249771113289
5.250237865,0.7184256126453366
5.300181789,0.6944266207910488
5.350281785,0.678427332469255
5.40028202,0.6544284651641719
5.45019773,0.6384292675570535
5.500284065,0.6224301111619155
5.550219083,0.5984314610722897
5.600233146,0.582432422764182
5.650235723,0.5664334387411226
5.700225622,0.5424350749983736
5.750289556,0.5264362486606342
5.800242318,0.5104374958509355
5.850270821,0.4864395203715548
5.900535867,0.46244175490376954
5.950233138,0.446443377989178
6.000233503,0.4304451216747675
6.050183072,0.4064479944803996
6.100268858,0.39045010579923045
6.1502353,0.37445239747053627
6.200225254,0.35045622716588426
6.250246355,0.3344590855253122
6.300274906,0.31046392527275024
6.350226777,0.2944675899061386
6.400157447,0.2704738995317213
6.450233628,0.25447876692476784
6.500163081,0.23136228097862094
6.550730644,0.2173722687884301
6.60025201,0.20414363382700773
6.650246518,0.18542401840486156
6.700268721,0.17404725351177866
6.751656475,0.15817611531606454
6.800253499,0.1486197407546879
6.850287879,0.13952711219445438
6.900239577,0.1267325360089968
6.950239221,0.11896754172593835
7.000191462,0.10807850572231158
7.050226954,0.10156117961928886
7.100194017,0.09232769186762853
7.150208914,0.08678183526549935
7.200296276,0.08154247359902242
7.250196494,0.07413014827391692
7.300189379,0.06967850522415574
7.350217257,0.06548477275028101
7.400208609,0.05954100396424645
7.450268883,0.05595403834281828
7.500238694,0.05258091397536019
7.550304365,0.04781435966913332
7.600233322,0.04491721338443641
7.650188374,0.04088567238102982
7.700230853,0.03845606532350747
7.750184245,0.0350327968233877
7.800220461,0.03299111666171389
7.850173241,0.031050955108977495
7.900297316,0.028319443791052112
7.95023529,0.027990545456325327
8.000169407,0.027990545456325327
8.050219082,0.027990545456325327
8.100233208,0.027990545456325327
8.150193639,0.027990545456325327
8.200228254,0.027990545456325327
8.250192253,0.027990545456325327
8.300237663,0.027990545456325327
8.350234795,0.027990545456325327
8.4001681,0.027990545456325327
8.450240903,0.027990545456325327
8.500261434,0.027990545456325327
8.550193482,0.027990545456325327
8.600282133,0.027990545456325327
8.650160285,0.027990545456325327
8.700302846,0.027990545456325327
8.750307483,0.027990545456325327
8.800460474,0.027990545456325327
8.850221634,0.027990545456325327
8.900309985,0.027990545456325327
8.950220549,0.027990545456325327
9.000298119,0.027990545456325327
9.051009842,0.027990545456325327
9.100196501,0.027990545456325327
9.150310244,0.027990545456325327
9.200871646,0.027990545456325327
9.250276601,0.027990545456325327
9.3008394,0.027990545456325327
9.350253156,0.027990545456325327
9.400161577,0.027990545456325327
9.450310479,0.027990545456325327
9.500238478,0.027990545456325327
9.550192193,0.027990545456325327
9.600650831,0.027990545456325327
9.650158527,0.027990545456325327
9.700229566,0.027990545456325327
